row_id,path,path_area,families,matched_tokens,recommended_owner_decision,recommended_owner_decision_primary,recommended_owner_decision_alternate,owner_decision,owner_identity,owner_role,decision_timestamp_utc,evidence_reference
structural-scope-owner-001,implementation/phase1/md3bead_scientific_validity_report.md,implementation_phase1,molecular_dynamics,md3bead,extract_to_molecular_or_science_repository_or_delete_if_obsolete,extract_to_molecular_or_science_repository,delete_from_structural_repository,,,,,
structural-scope-owner-002,implementation/phase1/md3bead_soa.py,implementation_phase1,molecular_dynamics,md3bead,extract_to_molecular_or_science_repository_or_delete_if_obsolete,extract_to_molecular_or_science_repository,delete_from_structural_repository,,,,,
structural-scope-owner-003,implementation/phase1/release_evidence/productization/gpcr_hard_decoy_operator_intake_packet.json,productization_evidence,molecular_docking,gpcr,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-004,implementation/phase1/release_evidence/productization/gpcr_hard_decoy_operator_intake_packet.md,productization_evidence,molecular_docking,gpcr,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-005,implementation/phase1/release_evidence/productization/gpcr_hard_decoy_operator_template.json,productization_evidence,molecular_docking,gpcr,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-006,implementation/phase1/release_evidence/productization/gpcr_hard_decoy_product_report.json,productization_evidence,molecular_docking,gpcr,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-007,implementation/phase1/release_evidence/productization/gpcr_hard_decoy_rows_template.csv,productization_evidence,molecular_docking,gpcr,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-008,implementation/phase1/release_evidence/productization/gpcr_hard_decoy_suite_report.json,productization_evidence,molecular_docking,gpcr,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-009,implementation/phase1/release_evidence/productization/gpcr_hard_decoy_suite_report.md,productization_evidence,molecular_docking,gpcr,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-010,implementation/phase1/release_evidence/productization/h_bond_backmap_operator_intake_packet.json,productization_evidence,molecular_science_evidence,h_bond,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-011,implementation/phase1/release_evidence/productization/h_bond_backmap_operator_intake_packet.md,productization_evidence,molecular_science_evidence,h_bond,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-012,implementation/phase1/release_evidence/productization/pocketmd_lite_contract.json,productization_evidence,molecular_dynamics,pocketmd,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-013,implementation/phase1/release_evidence/productization/pocketmd_lite_delivery_handoff.json,productization_evidence,molecular_dynamics,pocketmd,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-014,implementation/phase1/release_evidence/productization/pocketmd_lite_operator_intake_packet.json,productization_evidence,molecular_dynamics,pocketmd,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-015,implementation/phase1/release_evidence/productization/pocketmd_lite_operator_intake_packet.md,productization_evidence,molecular_dynamics,pocketmd,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-016,implementation/phase1/release_evidence/productization/pocketmd_lite_operator_template.json,productization_evidence,molecular_dynamics,pocketmd,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-017,implementation/phase1/release_evidence/productization/pocketmd_lite_readonly_api.json,productization_evidence,molecular_dynamics,pocketmd,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-018,implementation/phase1/release_evidence/productization/pocketmd_lite_topk_rows_template.csv,productization_evidence,molecular_dynamics,pocketmd,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-019,implementation/phase1/release_evidence/productization/pocketmd_lite_topk_survival_report.json,productization_evidence,molecular_dynamics,pocketmd,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-020,implementation/phase1/release_evidence/productization/pocketmd_lite_topk_survival_report.md,productization_evidence,molecular_dynamics,pocketmd,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-021,implementation/phase1/release_evidence/productization/public_benchmark_casf_pdbbind_operator_template.json,productization_evidence,molecular_docking,casf_pdbbind;pdbbind,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-022,implementation/phase1/release_evidence/productization/public_benchmark_enrichment_operator_template.json,productization_evidence,molecular_docking,public_benchmark_enrichment,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-023,implementation/phase1/release_evidence/productization/public_benchmark_enrichment_rows_template.csv,productization_evidence,molecular_docking,public_benchmark_enrichment,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-024,implementation/phase1/release_evidence/productization/public_benchmark_enrichment_scorecard.json,productization_evidence,molecular_docking,public_benchmark_enrichment,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-025,implementation/phase1/release_evidence/productization/public_benchmark_pose_coordinate_operator_template.json,productization_evidence,molecular_docking,public_benchmark_pose,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-026,implementation/phase1/release_evidence/productization/public_benchmark_pose_rows_template.csv,productization_evidence,molecular_docking,public_benchmark_pose,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-027,implementation/phase1/release_evidence/productization/public_benchmark_pose_success_harness.json,productization_evidence,molecular_docking,public_benchmark_pose,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-028,implementation/phase1/release_evidence/productization/public_benchmark_pose_validity_packet.json,productization_evidence,molecular_docking,public_benchmark_pose,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
structural-scope-owner-029,implementation/phase1/release_evidence/productization/public_benchmark_subset_manifest.json,productization_evidence,molecular_docking,public_benchmark_subset,delete_from_structural_repository_or_extract_only_if_owner_requires_history,delete_from_structural_repository,extract_to_molecular_or_science_repository,,,,,
